,Date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients,Date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
52,2021-01-27,AR,1314,331445,0,245,57482,0,0,2021-01-27,AR,11027,4014991,54610,2044934,65637,6059925
53,2021-01-27,AR,1314,331445,0,245,57482,0,0,2021-01-27,AR,29746,3529582,33243,926087,62989,4455669
54,2021-01-27,AR,1314,331445,0,245,57482,0,0,2021-01-27,AR,20902,2346737,2904,584528,23806,2931265
55,2021-01-27,AR,1314,331445,0,245,57482,0,0,2021-01-27,AR,11545,1326469,10742,380910,22287,1707379
56,2021-01-27,AR,1314,331445,0,245,57482,0,0,2021-01-27,AR,21410,988431,740,129174,22150,1117605
57,2021-01-27,AR,1314,331445,0,245,57482,0,0,2021-01-27,AR,8064,435557,454,96544,8518,532101
58,2021-01-27,AR,1314,331445,0,245,57482,0,0,2021-01-27,AR,2054,132951,280,42911,2334,175862
59,2021-01-27,AR,1314,331445,0,245,57482,0,0,2021-01-27,AR,557,39246,853,7896,1410,47142
60,2021-01-27,AR,644,362920,0,149,64494,0,0,2021-01-27,AR,9720,5428856,18189,4640500,27909,10069356
61,2021-01-27,AR,644,362920,0,149,64494,0,0,2021-01-27,AR,4955,5249159,10174,4244260,15129,9493419
62,2021-01-27,AR,644,362920,0,149,64494,0,0,2021-01-27,AR,33435,4859247,13441,3713918,46876,8573165
63,2021-01-27,AR,644,362920,0,149,64494,0,0,2021-01-27,AR,7475,4237360,32112,3153091,39587,7390451
64,2021-01-27,AR,644,362920,0,149,64494,0,0,2021-01-27,AR,11027,4014991,54610,2044934,65637,6059925
65,2021-01-27,AR,644,362920,0,149,64494,0,0,2021-01-27,AR,29746,3529582,33243,926087,62989,4455669
66,2021-01-27,AR,644,362920,0,149,64494,0,0,2021-01-27,AR,20902,2346737,2904,584528,23806,2931265
67,2021-01-27,AR,644,362920,0,149,64494,0,0,2021-01-27,AR,11545,1326469,10742,380910,22287,1707379
68,2021-01-27,AR,644,362920,0,149,64494,0,0,2021-01-27,AR,21410,988431,740,129174,22150,1117605
69,2021-01-27,AR,644,362920,0,149,64494,0,0,2021-01-27,AR,8064,435557,454,96544,8518,532101
70,2021-01-27,AR,644,362920,0,149,64494,0,0,2021-01-27,AR,2054,132951,280,42911,2334,175862
71,2021-01-27,AR,644,362920,0,149,64494,0,0,2021-01-27,AR,557,39246,853,7896,1410,47142
72,2021-01-27,AR,652,385876,0,132,69015,0,0,2021-01-27,AR,9720,5428856,18189,4640500,27909,10069356
73,2021-01-27,AR,652,385876,0,132,69015,0,0,2021-01-27,AR,4955,5249159,10174,4244260,15129,9493419
74,2021-01-27,AR,652,385876,0,132,69015,0,0,2021-01-27,AR,33435,4859247,13441,3713918,46876,8573165
75,2021-01-27,AR,652,385876,0,132,69015,0,0,2021-01-27,AR,7475,4237360,32112,3153091,39587,7390451
76,2021-01-27,AR,652,385876,0,132,69015,0,0,2021-01-27,AR,11027,4014991,54610,2044934,65637,6059925
77,2021-01-27,AR,652,385876,0,132,69015,0,0,2021-01-27,AR,29746,3529582,33243,926087,62989,4455669
78,2021-01-27,AR,652,385876,0,132,69015,0,0,2021-01-27,AR,20902,2346737,2904,584528,23806,2931265
79,2021-01-27,AR,652,385876,0,132,69015,0,0,2021-01-27,AR,11545,1326469,10742,380910,22287,1707379
80,2021-01-27,AR,652,385876,0,132,69015,0,0,2021-01-27,AR,21410,988431,740,129174,22150,1117605
81,2021-01-27,AR,652,385876,0,132,69015,0,0,2021-01-27,AR,8064,435557,454,96544,8518,532101
82,2021-01-27,AR,652,385876,0,132,69015,0,0,2021-01-27,AR,2054,132951,280,42911,2334,175862
83,2021-01-27,AR,652,385876,0,132,69015,0,0,2021-01-27,AR,557,39246,853,7896,1410,47142
84,2021-01-27,AR,418,402979,0,67,72051,0,0,2021-01-27,AR,9720,5428856,18189,4640500,27909,10069356
85,2021-01-27,AR,418,402979,0,67,72051,0,0,2021-01-27,AR,4955,5249159,10174,4244260,15129,9493419
86,2021-01-27,AR,418,402979,0,67,72051,0,0,2021-01-27,AR,33435,4859247,13441,3713918,46876,8573165
