,Date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
41,2021-09-06,AR,443,407153,0,63,72663,0,0,7156,4097374,55096,2469262,62252,6566636,3681,75,0,53247,5240567,115124,0,17075413
42,2021-11-17,AR,229,426569,0,31,75036,0,0,8599,5179922,30702,4048378,39301,9228300,1517,5,0,32155,5330326,116798,0,19422588
43,2021-06-20,AR,728,356920,0,192,63224,0,0,14799,2119241,646,543502,15445,2662743,7025,464,0,21720,4348533,96462,0,12760886
44,2021-06-27,AR,644,362920,0,149,64494,0,0,20902,2346737,2904,584528,23806,2931265,8775,356,0,27323,4481743,99485,0,13138095
45,2021-12-14,AR,259,432470,0,44,75846,0,0,7584,5365894,16850,4507067,24434,9872961,4825,12,0,42353,5389283,117189,0,20169488
46,2021-07-08,AR,817,372243,0,162,66376,0,0,50934,2802560,5650,714393,56584,3516953,19256,373,0,73129,4683267,103674,0,13790511
47,2021-08-25,AR,494,402112,0,79,71909,0,0,10450,3993690,49431,1938994,59881,5932684,5232,106,0,62603,5196263,113999,0,16498448
48,2021-11-23,AR,231,427733,0,44,75222,0,0,9979,5218123,24525,4162004,34504,9380127,2222,15,0,31979,5338152,116867,0,19564085
49,2021-12-27,AR,359,435445,0,60,76343,0,0,9720,5428856,18189,4640500,27909,10069356,37421,31,0,101951,5544836,117462,0,20840125
50,2021-02-26,AR,438,262374,0,71,42899,0,0,9798,130897,1430,42631,11228,173528,6669,108,0,38638,2130187,55220,0,6507495
51,2021-06-28,AR,895,363815,0,203,64697,0,0,44899,2391636,7617,592145,52516,2983781,22441,397,0,57913,4504184,99882,0,13196008
52,2021-09-13,AR,468,409694,0,58,73028,0,0,7015,4137738,35420,2722026,42435,6859764,2412,73,0,49010,5255622,115589,0,17362126
53,2021-09-26,AR,233,413633,0,29,73498,0,0,1801,4229885,9963,3120979,11764,7350864,469,31,0,17381,5274573,116099,0,17841299
54,2021-04-07,AR,798,283021,0,159,47011,0,0,33903,626848,985,102839,34888,729687,26226,238,0,80455,2516511,60708,0,8085763
55,2021-06-01,AR,1292,337435,0,277,58857,0,0,36919,1453774,7238,424463,44157,1878237,35225,594,0,83492,3914455,85534,0,11591253
56,2021-08-23,AR,525,401079,0,75,71743,0,0,18367,3969748,42234,1838137,60601,5807885,7112,123,0,66605,5184685,113778,0,16371160
57,2021-04-15,AR,929,289837,0,177,48380,0,0,19059,799485,2804,115742,21863,915227,26240,309,0,77340,2706838,62782,0,8617573
58,2021-05-21,AR,1116,324537,0,261,55985,0,0,13617,1275119,12091,344624,25708,1619743,36869,524,0,89901,3586235,79060,0,10869430
59,2021-12-10,AR,212,431579,0,18,75718,0,0,7251,5345398,18180,4460531,25431,9805929,3416,11,0,36941,5375688,117119,0,20048914
60,2021-10-20,AR,312,419937,0,32,74246,0,0,43750,4626028,13364,3615568,57114,8241596,1241,11,0,37574,5297464,116512,0,18611435
61,2021-09-30,AR,263,414797,0,41,73643,0,0,9476,4262369,39965,3255348,49441,7517717,1279,19,0,37448,5280047,116204,0,18001884
62,2021-12-04,AR,183,430242,0,32,75550,0,0,4249,5305681,9117,4367302,13366,9672983,1675,16,0,20939,5359921,117031,0,19870769
63,2021-12-12,AR,194,431948,0,26,75763,0,0,1812,5351182,4839,4473614,6651,9824796,1708,23,0,16662,5379957,117164,0,20088801
64,2021-05-09,AR,773,311613,0,166,53150,0,0,2243,1139729,413,207206,2656,1346935,9483,440,0,27094,3224144,73174,0,10007899
65,2021-06-17,AR,916,354470,0,209,62657,0,0,35483,2023523,9200,533112,44683,2556635,20568,538,0,64040,4307688,94935,0,12637210
66,2021-11-16,AR,247,426340,0,38,75005,0,0,8512,5171323,32414,4017676,40926,9188999,1419,16,0,30715,5328809,116793,0,19390433
67,2021-12-08,AR,206,431126,0,30,75678,0,0,3474,5330519,7454,4425508,10928,9756027,1656,12,0,19988,5368629,117092,0,19975391
68,2021-08-12,AR,565,395587,0,104,70803,0,0,11130,3848561,44884,1445763,56014,5294324,8915,176,0,64517,5116179,112172,0,15798968
69,2021-01-05,AR,650,236074,0,113,37776,0,0,1514,9456,0,1,1514,9457,14083,160,0,46793,1703515,47162,0,4475600
70,2021-05-31,AR,1293,336143,0,262,58580,0,0,34146,1416855,8699,417225,42845,1834080,37346,642,0,79426,3879230,84940,0,11507761
71,2021-08-24,AR,539,401618,0,87,71830,0,0,13492,3983240,51426,1889563,64918,5872803,6346,115,0,64685,5191031,113893,0,16435845
72,2021-04-23,AR,923,297432,0,174,49945,0,0,25412,923483,1820,127438,27232,1050921,25986,459,0,71062,2903212,65958,0,9143574
73,2021-02-21,AR,366,260058,0,69,42477,0,0,2908,78527,3,38076,2911,116603,2981,131,0,22732,2094921,54598,0,6310159
74,2021-05-18,AR,1148,320967,0,261,55152,0,0,21878,1223125,6000,321429,27878,1544554,41043,515,0,91925,3476396,77501,0,10606131
