,Date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients,Date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,Date_string
285,2021-10-13,AR,327,418147,0,41,74048,0,0,2021-10-13,AR,35490,4396978,16404,3500317,51894,7897295,2021-10-13
286,2021-10-14,AR,290,418437,0,30,74078,0,0,2021-10-14,AR,38259,4435237,22239,3522556,60498,7957793,2021-10-14
287,2021-10-15,AR,245,418682,0,30,74108,0,0,2021-10-15,AR,36841,4472078,22972,3545528,59813,8017606,2021-10-15
288,2021-10-16,AR,174,418856,0,18,74126,0,0,2021-10-16,AR,18446,4490524,16736,3562264,35182,8052788,2021-10-16
289,2021-10-17,AR,212,419068,0,19,74145,0,0,2021-10-17,AR,7414,4497938,7494,3569758,14908,8067696,2021-10-17
290,2021-10-18,AR,287,419355,0,44,74189,0,0,2021-10-18,AR,41165,4539103,16980,3586738,58145,8125841,2021-10-18
291,2021-10-19,AR,270,419625,0,25,74214,0,0,2021-10-19,AR,43175,4582278,15466,3602204,58641,8184482,2021-10-19
292,2021-10-20,AR,312,419937,0,32,74246,0,0,2021-10-20,AR,43750,4626028,13364,3615568,57114,8241596,2021-10-20
293,2021-10-21,AR,254,420191,0,33,74279,0,0,2021-10-21,AR,39442,4665470,18505,3634073,57947,8299543,2021-10-21
294,2021-10-22,AR,240,420431,0,31,74310,0,0,2021-10-22,AR,48411,4713881,16116,3650189,64527,8364070,2021-10-22
295,2021-10-23,AR,196,420627,0,31,74341,0,0,2021-10-23,AR,21987,4735868,8542,3658731,30529,8394599,2021-10-23
296,2021-10-24,AR,199,420826,0,20,74361,0,0,2021-10-24,AR,16637,4752505,3302,3662033,19939,8414538,2021-10-24
297,2021-10-25,AR,282,421108,0,39,74400,0,0,2021-10-25,AR,35599,4788104,16951,3678984,52550,8467088,2021-10-25
298,2021-10-26,AR,293,421401,0,34,74434,0,0,2021-10-26,AR,37708,4825812,21493,3700477,59201,8526289,2021-10-26
299,2021-10-27,AR,262,421663,0,25,74459,0,0,2021-10-27,AR,33435,4859247,13441,3713918,46876,8573165,2021-10-27
300,2021-10-28,AR,275,421938,0,35,74494,0,0,2021-10-28,AR,32075,4891322,15768,3729686,47843,8621008,2021-10-28
301,2021-10-29,AR,270,422208,0,34,74528,0,0,2021-10-29,AR,28163,4919485,13838,3743524,42001,8663009,2021-10-29
302,2021-10-30,AR,204,422412,0,17,74545,0,0,2021-10-30,AR,10026,4929511,5724,3749248,15750,8678759,2021-10-30
303,2021-10-31,AR,197,422609,0,15,74560,0,0,2021-10-31,AR,16807,4946318,3473,3752721,20280,8699039,2021-10-31
304,2021-11-01,AR,274,422883,0,31,74591,0,0,2021-11-01,AR,26586,4972904,11955,3764676,38541,8737580,2021-11-01
305,2021-11-02,AR,268,423151,0,26,74617,0,0,2021-11-02,AR,18701,4991605,20771,3785447,39472,8777052,2021-11-02
306,2021-11-03,AR,296,423447,0,43,74660,0,0,2021-11-03,AR,20785,5012390,22576,3808023,43361,8820413,2021-11-03
307,2021-11-04,AR,239,423686,0,33,74693,0,0,2021-11-04,AR,25158,5037548,21486,3829509,46644,8867057,2021-11-04
308,2021-11-05,AR,189,423875,0,25,74718,0,0,2021-11-05,AR,19611,5057159,15836,3845345,35447,8902504,2021-11-05
309,2021-11-06,AR,144,424019,0,15,74733,0,0,2021-11-06,AR,8601,5065760,11162,3856507,19763,8922267,2021-11-06
310,2021-11-07,AR,164,424183,0,23,74756,0,0,2021-11-07,AR,8427,5074187,7538,3864045,15965,8938232,2021-11-07
311,2021-11-08,AR,281,424464,0,33,74789,0,0,2021-11-08,AR,15676,5089863,12264,3876309,27940,8966172,2021-11-08
312,2021-11-09,AR,282,424746,0,36,74825,0,0,2021-11-09,AR,22220,5112083,17395,3893704,39615,9005787,2021-11-09
313,2021-11-10,AR,237,424983,0,31,74856,0,0,2021-11-10,AR,12481,5124564,16531,3910235,29012,9034799,2021-11-10
314,2021-11-11,AR,235,425218,0,21,74877,0,0,2021-11-11,AR,13431,5137995,15725,3925960,29156,9063955,2021-11-11
315,2021-11-12,AR,211,425429,0,21,74898,0,0,2021-11-12,AR,11860,5149855,21444,3947404,33304,9097259,2021-11-12
316,2021-11-13,AR,195,425624,0,23,74921,0,0,2021-11-13,AR,5297,5155152,9007,3956411,14304,9111563,2021-11-13
317,2021-11-14,AR,181,425805,0,19,74940,0,0,2021-11-14,AR,265,5155417,736,3957147,1001,9112564,2021-11-14
318,2021-11-15,AR,288,426093,0,27,74967,0,0,2021-11-15,AR,7394,5162811,28115,3985262,35509,9148073,2021-11-15
319,2021-11-16,AR,247,426340,0,38,75005,0,0,2021-11-16,AR,8512,5171323,32414,4017676,40926,9188999,2021-11-16
320,2021-11-17,AR,229,426569,0,31,75036,0,0,2021-11-17,AR,8599,5179922,30702,4048378,39301,9228300,2021-11-17
321,2021-11-18,AR,253,426822,0,38,75074,0,0,2021-11-18,AR,8941,5188863,28298,4076676,37239,9265539,2021-11-18
322,2021-11-19,AR,176,426998,0,27,75101,0,0,2021-11-19,AR,8030,5196893,34233,4110909,42263,9307802,2021-11-19
323,2021-11-20,AR,156,427154,0,17,75118,0,0,2021-11-20,AR,5035,5201928,12079,4122988,17114,9324916,2021-11-20
324,2021-11-21,AR,151,427305,0,25,75143,0,0,2021-11-21,AR,2684,5204612,6937,4129925,9621,9334537,2021-11-21
325,2021-11-22,AR,197,427502,0,35,75178,0,0,2021-11-22,AR,3532,5208144,7554,4137479,11086,9345623,2021-11-22
326,2021-11-23,AR,231,427733,0,44,75222,0,0,2021-11-23,AR,9979,5218123,24525,4162004,34504,9380127,2021-11-23
327,2021-11-24,AR,244,427977,0,30,75252,0,0,2021-11-24,AR,9655,5227778,25720,4187724,35375,9415502,2021-11-24
328,2021-11-25,AR,292,428269,0,37,75289,0,0,2021-11-25,AR,7934,5235712,23376,4211100,31310,9446812,2021-11-25
329,2021-11-26,AR,220,428489,0,27,75316,0,0,2021-11-26,AR,8492,5244204,22986,4234086,31478,9478290,2021-11-26
330,2021-11-27,AR,198,428687,0,22,75338,0,0,2021-11-27,AR,4955,5249159,10174,4244260,15129,9493419,2021-11-27
331,2021-11-28,AR,189,428876,0,45,75383,0,0,2021-11-28,AR,2258,5251417,7392,4251652,9650,9503069,2021-11-28
332,2021-11-29,AR,242,429118,0,32,75415,0,0,2021-11-29,AR,8800,5260217,24742,4276394,33542,9536611,2021-11-29
333,2021-11-30,AR,268,429386,0,31,75446,0,0,2021-11-30,AR,9714,5269931,23269,4299663,32983,9569594,2021-11-30
334,2021-12-01,AR,251,429637,0,25,75471,0,0,2021-12-01,AR,11303,5281234,17926,4317589,29229,9598823,2021-12-01
335,2021-12-02,AR,232,429869,0,29,75500,0,0,2021-12-02,AR,10730,5291964,22520,4340109,33250,9632073,2021-12-02
336,2021-12-03,AR,190,430059,0,18,75518,0,0,2021-12-03,AR,9468,5301432,18076,4358185,27544,9659617,2021-12-03
337,2021-12-04,AR,183,430242,0,32,75550,0,0,2021-12-04,AR,4249,5305681,9117,4367302,13366,9672983,2021-12-04
338,2021-12-05,AR,174,430416,0,28,75578,0,0,2021-12-05,AR,2690,5308371,6341,4373643,9031,9682014,2021-12-05
339,2021-12-06,AR,278,430694,0,36,75614,0,0,2021-12-06,AR,9339,5317710,21131,4394774,30470,9712484,2021-12-06
340,2021-12-07,AR,226,430920,0,34,75648,0,0,2021-12-07,AR,9335,5327045,23280,4418054,32615,9745099,2021-12-07
341,2021-12-08,AR,206,431126,0,30,75678,0,0,2021-12-08,AR,3474,5330519,7454,4425508,10928,9756027,2021-12-08
342,2021-12-09,AR,241,431367,0,22,75700,0,0,2021-12-09,AR,7628,5338147,16843,4442351,24471,9780498,2021-12-09
343,2021-12-10,AR,212,431579,0,18,75718,0,0,2021-12-10,AR,7251,5345398,18180,4460531,25431,9805929,2021-12-10
344,2021-12-11,AR,175,431754,0,19,75737,0,0,2021-12-11,AR,3972,5349370,8244,4468775,12216,9818145,2021-12-11
345,2021-12-12,AR,194,431948,0,26,75763,0,0,2021-12-12,AR,1812,5351182,4839,4473614,6651,9824796,2021-12-12
346,2021-12-13,AR,263,432211,0,39,75802,0,0,2021-12-13,AR,7128,5358310,16603,4490217,23731,9848527,2021-12-13
347,2021-12-14,AR,259,432470,0,44,75846,0,0,2021-12-14,AR,7584,5365894,16850,4507067,24434,9872961,2021-12-14
348,2021-12-15,AR,244,432714,0,50,75896,0,0,2021-12-15,AR,7041,5372935,16422,4523489,23463,9896424,2021-12-15
349,2021-12-16,AR,215,432929,0,37,75933,0,0,2021-12-16,AR,7079,5380014,15512,4539001,22591,9919015,2021-12-16
350,2021-12-17,AR,184,433113,0,38,75971,0,0,2021-12-17,AR,6297,5386311,12908,4551909,19205,9938220,2021-12-17
351,2021-12-18,AR,173,433286,0,34,76005,0,0,2021-12-18,AR,3064,5389375,7814,4559723,10878,9949098,2021-12-18
352,2021-12-19,AR,191,433477,0,30,76035,0,0,2021-12-19,AR,1483,5390858,3933,4563656,5416,9954514,2021-12-19
353,2021-12-20,AR,279,433756,0,47,76082,0,0,2021-12-20,AR,6364,5397222,13505,4577161,19869,9974383,2021-12-20
354,2021-12-21,AR,264,434020,0,38,76120,0,0,2021-12-21,AR,7734,5404956,16105,4593266,23839,9998222,2021-12-21
355,2021-12-22,AR,233,434253,0,41,76161,0,0,2021-12-22,AR,7477,5412433,15555,4608821,23032,10021254,2021-12-22
356,2021-12-23,AR,225,434478,0,35,76196,0,0,2021-12-23,AR,4980,5417413,10847,4619668,15827,10037081,2021-12-23
357,2021-12-24,AR,166,434644,0,29,76225,0,0,2021-12-24,AR,303,5417716,541,4620209,844,10037925,2021-12-24
358,2021-12-25,AR,188,434832,0,27,76252,0,0,2021-12-25,AR,14,5417730,20,4620229,34,10037959,2021-12-25
359,2021-12-26,AR,254,435086,0,31,76283,0,0,2021-12-26,AR,1406,5419136,2082,4622311,3488,10041447,2021-12-26
360,2021-12-27,AR,359,435445,0,60,76343,0,0,2021-12-27,AR,9720,5428856,18189,4640500,27909,10069356,2021-12-27
361,2021-12-28,AR,396,435841,0,63,76406,0,0,2021-12-28,AR,9912,5438768,16785,4657285,26697,10096053,2021-12-28
362,2021-12-29,AR,368,436209,0,50,76456,0,0,2021-12-29,AR,10075,5448843,16203,4673488,26278,10122331,2021-12-29
363,2021-12-30,AR,336,436545,0,61,76517,0,0,2021-12-30,AR,8293,5457136,13452,4686940,21745,10144076,2021-12-30
364,2021-12-31,AR,284,436829,0,54,76571,0,0,2021-12-31,AR,518,5457654,1069,4688009,1587,10145663,2021-12-31
